match_id,date,kickoff_hour_utc,stadium_name,city,country,elevation_meters,timezone,temp_celsius,humidity_pct,feels_like_celsius,precipitation_mm,wind_speed_kmh,cloud_cover_pct,heat_index_celsius,heat_stress_category,above_fifa_threshold_32c,collected_at
51,2026-06-24,22,Vancouver Stadium (BC Place),Vancouver,CAN,9,America/Vancouver,24.1,40,22.8,0.0,8.0,0,24.1,Low,0,2026-08-02T10:19:44.723409+00:00
52,2026-06-24,22,Toronto Stadium (BMO Field),Toronto,CAN,76,America/Toronto,21.3,49,20.6,0.0,5.6,22,21.3,Low,0,2026-08-02T10:19:49.831589+00:00
53,2026-06-25,18,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,26.6,42,25.0,0.0,16.0,65,26.6,Low,0,2026-08-02T10:19:53.194696+00:00
54,2026-06-25,18,Boston Stadium (Gillette Stadium),Foxborough,USA,87,America/New_York,25.2,48,24.2,0.0,14.7,39,25.2,Low,0,2026-08-02T10:19:56.023827+00:00
55,2026-06-25,22,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,30,America/Los_Angeles,17.7,80,18.3,0.0,4.6,1,17.7,Low,0,2026-08-02T10:19:59.453633+00:00
56,2026-06-25,22,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,8,America/Los_Angeles,16.5,64,15.4,0.0,6.8,67,16.5,Low,0,2026-08-02T10:20:02.350961+00:00
57,2026-06-26,18,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,318,America/New_York,30.9,47,32.9,0.0,7.1,5,31.9,Moderate,0,2026-08-02T10:20:07.880618+00:00
58,2026-06-26,18,Houston Stadium (NRG Stadium),Houston,USA,14,America/Chicago,31.9,61,35.1,0.0,16.6,7,37.14,High,1,2026-08-02T10:20:13.896904+00:00
59,2026-06-26,22,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,264,America/Chicago,22.7,93,26.2,0.0,8.1,95,22.7,Low,0,2026-08-02T10:20:15.747932+00:00
60,2026-06-26,22,Seattle Stadium (Lumen Field),Seattle,USA,3,America/Los_Angeles,15.3,79,14.4,0.0,9.3,66,15.3,Low,0,2026-08-02T10:20:20.271206+00:00
65,2026-06-26,18,Boston Stadium (Gillette Stadium),Foxborough,USA,87,America/New_York,23.8,77,25.6,0.1,12.3,73,23.8,Low,0,2026-08-02T10:20:22.121789+00:00
66,2026-06-26,18,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,27.6,54,29.2,0.0,6.8,100,28.34,Moderate,0,2026-08-02T10:20:24.309499+00:00
61,2026-06-27,18,Dallas Stadium (AT&T Stadium),Arlington,USA,184,America/Chicago,35.2,40,35.3,0.0,24.6,28,37.59,High,1,2026-08-02T10:20:26.901732+00:00
62,2026-06-27,18,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,538,America/Mexico_City,32.8,43,33.7,0.0,15.6,0,34.12,High,1,2026-08-02T10:20:28.747374+00:00
63,2026-06-27,22,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,28.0,82,33.9,0.0,3.7,10,32.41,High,1,2026-08-02T10:20:33.200242+00:00
64,2026-06-27,22,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,3,America/New_York,22.3,87,25.9,0.0,1.7,29,22.3,Low,0,2026-08-02T10:20:35.027717+00:00
67,2026-06-27,22,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,8,America/Los_Angeles,15.6,67,15.1,0.0,2.7,2,15.6,Low,0,2026-08-02T10:20:39.255366+00:00
68,2026-06-27,22,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,30,America/Los_Angeles,17.7,81,18.5,0.0,4.0,18,17.7,Low,0,2026-08-02T10:20:41.085341+00:00
69,2026-06-28,18,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,31.1,60,35.7,0.0,3.6,8,35.06,High,1,2026-08-02T10:20:45.602667+00:00
70,2026-06-28,18,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,318,America/New_York,32.7,46,34.3,0.0,14.0,3,34.66,High,1,2026-08-02T10:20:47.438879+00:00
71,2026-06-28,22,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,22.1,78,24.4,0.0,5.0,4,22.1,Low,0,2026-08-02T10:20:49.249693+00:00
72,2026-06-28,22,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,3,America/New_York,23.1,90,27.3,0.0,2.7,17,23.1,Low,0,2026-08-02T10:20:52.425560+00:00
73,2026-06-29,12,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,30,America/Los_Angeles,20.4,67,20.8,0.0,6.6,100,20.4,Low,0,2026-08-02T10:20:54.982354+00:00
74,2026-06-29,23,Houston Stadium (NRG Stadium),Houston,USA,14,America/Chicago,27.9,80,32.6,0.0,9.8,0,31.85,Moderate,0,2026-08-02T10:20:56.836272+00:00
75,2026-06-30,2,Boston Stadium (Gillette Stadium),Foxborough,USA,87,America/New_York,17.0,96,18.4,0.0,5.3,7,17.0,Low,0,2026-08-02T10:20:58.628977+00:00
76,2026-06-30,7,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,538,America/Mexico_City,23.1,90,27.2,0.0,2.4,100,23.1,Low,0,2026-08-02T10:21:00.706081+00:00
77,2026-06-30,23,Dallas Stadium (AT&T Stadium),Arlington,USA,184,America/Chicago,30.4,54,31.9,0.0,16.3,1,32.38,High,1,2026-08-02T10:21:03.271400+00:00
78,2026-07-01,3,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,24.8,59,25.4,0.4,10.9,94,24.8,Low,0,2026-08-02T10:21:06.613783+00:00
79,2026-07-01,7,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,2200,America/Mexico_City,14.3,93,15.0,0.3,2.0,100,14.3,Low,0,2026-08-02T10:21:09.429383+00:00
80,2026-07-01,22,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,318,America/New_York,26.9,87,32.9,0.0,2.1,93,30.16,Moderate,0,2026-08-02T10:21:12.513472+00:00
81,2026-07-02,2,Seattle Stadium (Lumen Field),Seattle,USA,3,America/Los_Angeles,14.0,84,13.9,0.0,3.5,50,14.0,Low,0,2026-08-02T10:21:15.131025+00:00
82,2026-07-02,6,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,8,America/Los_Angeles,13.6,80,12.6,0.0,7.1,59,13.6,Low,0,2026-08-02T10:21:16.937927+00:00
