match_id,utc_date,status,matchday,stage,group_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score_home_ft,score_away_ft,score_home_ht,score_away_ht,winner,duration,referee_name,referee_nationality,venue_name,venue_city,venue_country,venue_has_ac,venue_latitude,venue_longitude,venue_timezone,collected_at
537358,2026-06-15T02:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_F,792.0,Sweden,SWE,802.0,Tunisia,TUN,5.0,1.0,2.0,1.0,HOME_TEAM,REGULAR,Yael Falcón,Argentina,,,,,,,,2026-06-29T08:56:57.700448+00:00
537359,2026-06-20T17:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_F,8601.0,Netherlands,NED,792.0,Sweden,SWE,5.0,1.0,2.0,0.0,HOME_TEAM,REGULAR,Michael Oliver,England,,,,,,,,2026-06-29T08:56:57.700660+00:00
537360,2026-06-21T04:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_F,802.0,Tunisia,TUN,766.0,Japan,JPN,0.0,4.0,0.0,2.0,AWAY_TEAM,REGULAR,István Kovács,Romania,,,,,,,,2026-06-29T08:56:57.700682+00:00
537361,2026-06-25T23:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_F,802.0,Tunisia,TUN,8601.0,Netherlands,NED,1.0,3.0,0.0,2.0,AWAY_TEAM,REGULAR,Katia García,Mexico,,,,,,,,2026-06-29T08:56:57.700833+00:00
537362,2026-06-25T23:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_F,766.0,Japan,JPN,792.0,Sweden,SWE,1.0,1.0,0.0,0.0,DRAW,REGULAR,Ivan Barton,,,,,,,,,2026-06-29T08:56:57.700840+00:00
537363,2026-06-15T19:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_G,805.0,Belgium,BEL,825.0,Egypt,EGY,1.0,1.0,0.0,1.0,DRAW,REGULAR,Ramon Abatti Abel,Brazil,,,,,,,,2026-06-29T08:56:57.700463+00:00
537364,2026-06-16T01:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_G,840.0,Iran,IRN,783.0,New Zealand,NZL,2.0,2.0,1.0,1.0,DRAW,REGULAR,César Ramos,Mexico,,,,,,,,2026-06-29T08:56:57.700496+00:00
537365,2026-06-21T19:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_G,805.0,Belgium,BEL,840.0,Iran,IRN,0.0,0.0,0.0,0.0,DRAW,REGULAR,Darío Herrera,Argentina,,,,,,,,2026-06-29T08:56:57.700696+00:00
537366,2026-06-22T01:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_G,783.0,New Zealand,NZL,825.0,Egypt,EGY,1.0,3.0,1.0,0.0,AWAY_TEAM,REGULAR,Omar Mohamed Al Ali,United Arab Emirates,,,,,,,,2026-06-29T08:56:57.700711+00:00
537367,2026-06-27T03:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_G,783.0,New Zealand,NZL,805.0,Belgium,BEL,1.0,5.0,0.0,1.0,AWAY_TEAM,REGULAR,Adham Makhadmeh,Jordan,,,,,,,,2026-06-29T08:56:57.700890+00:00
537368,2026-06-27T03:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_G,825.0,Egypt,EGY,840.0,Iran,IRN,1.0,1.0,1.0,1.0,DRAW,REGULAR,Szymon Marciniak,Poland,,,,,,,,2026-06-29T08:56:57.700898+00:00
537369,2026-06-15T16:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_H,760.0,Spain,ESP,1930.0,Cape Verde Islands,CPV,0.0,0.0,0.0,0.0,DRAW,REGULAR,Adham Makhadmeh,Jordan,,,,,,,,2026-06-29T08:56:57.700456+00:00
537370,2026-06-15T22:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_H,801.0,Saudi Arabia,KSA,758.0,Uruguay,URU,1.0,1.0,1.0,0.0,DRAW,REGULAR,Maurizio Mariani,Italy,,,,,,,,2026-06-29T08:56:57.700470+00:00
537371,2026-06-21T16:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_H,760.0,Spain,ESP,801.0,Saudi Arabia,KSA,4.0,0.0,3.0,0.0,HOME_TEAM,REGULAR,Raphael Claus,Brazil,,,,,,,,2026-06-29T08:56:57.700689+00:00
537372,2026-06-21T22:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_H,758.0,Uruguay,URU,1930.0,Cape Verde Islands,CPV,2.0,2.0,2.0,1.0,DRAW,REGULAR,Espen Eskås,Norway,,,,,,,,2026-06-29T08:56:57.700703+00:00
