dey_match_id,phase,round,home_team,away_team,n_commentary,data_source,collection_method,verified,hb_number,half,hb_actual_minute,deviation_from_target,loaded_at,home_norm,away_norm,kaggle_match_id,date
12812991,Knockout,Round of 16,Switzerland,Colombia,178,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Switzerland,Colombia,96.0,2026-07-07
12813016,Knockout,Quarterfinals,France,Morocco,102,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,29,7,2026-08-02T10:15:38.586814+00:00,France,Morocco,97.0,2026-07-09
12813016,Knockout,Quarterfinals,France,Morocco,102,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,67,0,2026-08-02T10:15:38.586814+00:00,France,Morocco,97.0,2026-07-09
12812994,Knockout,Quarterfinals,Spain,Belgium,124,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Spain,Belgium,98.0,2026-07-10
12812994,Knockout,Quarterfinals,Spain,Belgium,124,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,67,0,2026-08-02T10:15:38.586814+00:00,Spain,Belgium,98.0,2026-07-10
12813017,Knockout,Quarterfinals,Norway,England,119,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Norway,England,99.0,2026-07-11
12813017,Knockout,Quarterfinals,Norway,England,119,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Norway,England,99.0,2026-07-11
12813015,Knockout,Quarterfinals,Argentina,Switzerland,151,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Argentina,Switzerland,100.0,2026-07-12
12813015,Knockout,Quarterfinals,Argentina,Switzerland,151,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,75,8,2026-08-02T10:15:38.586814+00:00,Argentina,Switzerland,100.0,2026-07-12
12813008,Knockout,Semifinals,France,Spain,114,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,24,2,2026-08-02T10:15:38.586814+00:00,France,Spain,101.0,2026-07-14
12813008,Knockout,Semifinals,France,Spain,114,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,69,2,2026-08-02T10:15:38.586814+00:00,France,Spain,101.0,2026-07-14
12812996,Knockout,Semifinals,England,Argentina,115,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,25,3,2026-08-02T10:15:38.586814+00:00,England,Argentina,102.0,2026-07-15
12812996,Knockout,Semifinals,England,Argentina,115,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,69,2,2026-08-02T10:15:38.586814+00:00,England,Argentina,102.0,2026-07-15
12813003,Knockout,Match for 3rd place,France,England,122,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,France,England,103.0,2026-07-18
12813003,Knockout,Match for 3rd place,France,England,122,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,France,England,103.0,2026-07-18
12813005,Knockout,Final,Spain,Argentina,172,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,25,3,2026-08-02T10:15:38.586814+00:00,Spain,Argentina,104.0,2026-07-19
12813005,Knockout,Final,Spain,Argentina,172,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,67,0,2026-08-02T10:15:38.586814+00:00,Spain,Argentina,104.0,2026-07-19
12813000,Knockout,Round of 32,South Africa,Canada,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,South Africa,Canada,73.0,2026-06-29
12813000,Knockout,Round of 32,South Africa,Canada,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,67,0,2026-08-02T10:15:38.586814+00:00,South Africa,Canada,73.0,2026-06-29
12813012,Knockout,Round of 32,Brazil,Japan,91,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Brazil,Japan,74.0,2026-06-29
12813012,Knockout,Round of 32,Brazil,Japan,91,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Brazil,Japan,74.0,2026-06-29
